Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category,Tags
06/28/2023,SLACK TFJ24LW3D     SAN FRANCISCO       CA,9.28,"NT_OAGQYUT4 +14155799153
SLACK TFJ24LW3D
SAN FRANCISCO
CA
+14155799153",SLACK TFJ24LW3D     SAN FRANCISCO       CA,"155 5TH ST
6TH FLOOR","SAN FRANCISCO
CA",94103,UNITED STATES,'320231790977412153',Merchandise & Supplies-Computer Supplies,1Mark
06/27/2023,AMAZON MARKEPLACE NA PA,162.00,"4G4VQERPK23 BOOK STORES
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
BOOK STORES",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320231780945777804',Merchandise & Supplies-Internet Purchase,
06/27/2023,GUMRD.COM* JSREPORT SAN FRANCISCO       CA,29.95,"NT_OA2YPRBT +16502043486
GUMRD.COM* JSREPORT S.
SAN FRANCISCO
CA
+16502043486",GUMRD.COM* JSREPORT SAN FRANCISCO       CA,"548 MARKET ST
PMB 41309","SAN FRANCISCO
CA",94104,UNITED STATES,'320231780942598498',Merchandise & Supplies-General Retail,
06/27/2023,PAYPAL *ZOOMVIDEOCO 8887999666          CA,16.95,"10124907111 8887999666
PAYPAL *ZOOMVIDEOCO
8887999666
CA
Description : COMPUTER AND DATA P Price : 0.00
8887999666",PAYPAL *ZOOMVIDEOCO 8887999666          CA,"55 ALMADEN BLVD
6TH FLOOR","SAN JOSE
CA",95113,UNITED STATES,'320231790986676289',Business Services-Employment Agencies,
06/25/2023,TWILIO INC          SAN FRANCISCO       CA,10.67,"NT_OA1ERBK9 +18778894546
TWILIO INC
SAN FRANCISCO
CA
+18778894546",TWILIO INC          SAN FRANCISCO       CA,"SUITE 300
375 BEALE ST","SAN FRANCISCO
CA",94105,UNITED STATES,'320231780944333127',Merchandise & Supplies-Internet Purchase,
06/23/2023,TWILIO INC          SAN FRANCISCO       CA,10.04,"NT_O9HAQBGI +18778894546
TWILIO INC
SAN FRANCISCO
CA
+18778894546",TWILIO INC          SAN FRANCISCO       CA,"SUITE 300
375 BEALE ST","SAN FRANCISCO
CA",94105,UNITED STATES,'320231760899703091',Merchandise & Supplies-Internet Purchase,1Mark
06/22/2023,PAYPAL *WSJ/BARRON  6095140870          NY,8.00,"10124533521 6095140870
PAYPAL *WSJ/BARRON
6095140870
NY
Description : DIGITAL APPLICATION Price : 0.00
6095140870",PAYPAL *WSJ/BARRON  6095140870          NY,1211 AVE OF THE AMERICAS FL 5,"NEW YORK
NY",10036,UNITED STATES,'320231740866319516',Merchandise & Supplies-Internet Purchase,
06/21/2023,HAMPTON INNS HAMPTONNASHVILLE           TN,197.67,"525652      615-662-3133
LODGING
HAMPTON INNS HAMPTON INNS
NASHVILLE
TN",HAMPTON INNS HAMPTONNASHVILLE           TN,"7815 COLEY DAVIS ROAD
-","NASHVILLE
TN",37221,UNITED STATES,'320231720800963096',Travel-Lodging,
06/21/2023,TURKEY HILL #0294 95MECHANICSBURG       PA,35.78,"00491000002 7172998908
TURKEY HILL #0294 950294101
MECHANICSBURG
PA
Description : AUTOMATED FUEL Price : 0.3578
7172998908",TURKEY HILL #0294 95MECHANICSBURG       PA,6708 CARLISLE PIKE,"MECHANICSBURG
PA",17050,UNITED STATES,'320231730835360934',Transportation-Fuel,
06/21/2023,TWILIO INC          SAN FRANCISCO       CA,10.19,"NT_O89XZYBE +18778894546
TWILIO INC
SAN FRANCISCO
CA
+18778894546",TWILIO INC          SAN FRANCISCO       CA,"SUITE 300
375 BEALE ST","SAN FRANCISCO
CA",94105,UNITED STATES,'320231730825527798',Merchandise & Supplies-Internet Purchase,
